geoAreaName,type_of_product_desc,country+type,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,M2000,M2001,M2002,M2003,M2004,M2005,M2006,M2007,M2008,M2009,M2010,M2011,M2012,M2013,M2014,M2015,M2016,M2017,G2000,G2001,G2002,G2003,G2004,G2005,G2006,G2007,G2008,G2009,G2010,G2011,G2012,G2013,G2014,G2015,G2016,G2017
Netherlands,Natural gas,NetherlandsNatural gas,0.039,0.03908,0.03898,0.03917,0.03897,0.03676,0.03442,0.0322,0.03291,0.0346,0.03829,0.0328,0.03178,0.03208,0.02765,0.02718,0.02622,0.02505,1.821,1.85275,1.83934,1.84343,1.86113,1.78463,1.72242,1.66389,1.72289,1.73734,1.94294,1.68654,1.61191,1.61923,1.41133,1.41441,1.39056,1.36686,3.6,1.74,-0.36,-0.4,1.44,1.55,3,3.35,1.79,-4,1,1.22,-1.35,-0.44,1.13,1.68,1.93,2.67
Portugal,Non-ferrous ores,PortugalNon-ferrous ores,0.00076,0.00031,0.00018,0.00035,3.00E-05,,0.00054,0.00178,0.0031,3.00E-05,0.00061,0.00032,0.00229,0.00435,0.00547,0.00538,0.00554,0.00551,0.0163,0.00678,0.00394,0.00755,0.00073,0,0.01201,0.0402,0.07018,0.00056,0.01362,0.00695,0.04851,0.09177,0.11701,0.11771,0.11863,0.11956,3.39,1.51,0.34,-1.34,1.39,0.42,1.29,2.21,0.11,-3.2,1.81,-1.45,-3.66,-0.42,1.32,2.28,2.44,3.88
Portugal,Non-metallic minerals - industrial or agricultural dominant,PortugalNon-metallic minerals - industrial or agricultural dominant,0.00786,0.00861,0.00811,0.00903,0.00867,0.00763,0.00688,0.00762,0.00645,0.00652,0.00664,0.00628,0.00635,0.00542,0.00375,0.00334,0.00308,0.0027,0.16804,0.18677,0.17652,0.19397,0.18886,0.16699,0.15243,0.17242,0.14593,0.14306,0.14844,0.13824,0.13484,0.11424,0.08011,0.07304,0.06586,0.05864,3.39,1.51,0.34,-1.34,1.39,0.42,1.29,2.21,0.11,-3.2,1.81,-1.45,-3.66,-0.42,1.32,2.28,2.44,3.88
Portugal,Non-metallic minerals - construction dominant,PortugalNon-metallic minerals - construction dominant,0.64159,0.73093,0.66673,0.59247,0.59346,0.56208,0.50085,0.36989,0.35601,0.34183,0.38418,0.37872,0.37581,0.35794,0.33215,0.30463,0.29077,0.26622,13.71584,15.86173,14.51782,12.72743,12.92885,12.29533,11.09026,8.37063,8.05604,7.49878,8.59453,8.33877,7.97399,7.54752,7.10452,6.66802,6.22357,5.77245,3.39,1.51,0.34,-1.34,1.39,0.42,1.29,2.21,0.11,-3.2,1.81,-1.45,-3.66,-0.42,1.32,2.28,2.44,3.88
Portugal,Non-metallic minerals,PortugalNon-metallic minerals,0.64945,0.73954,0.67483,0.6015,0.60213,0.56971,0.50773,0.37751,0.36246,0.34835,0.39082,0.385,0.38217,0.36335,0.3359,0.30796,0.29385,0.26893,13.88389,16.0485,14.69435,12.9214,13.11771,12.46232,11.24269,8.54305,8.20197,7.64184,8.74296,8.47701,8.10882,7.66175,7.18463,6.74106,6.28944,5.83109,3.39,1.51,0.34,-1.34,1.39,0.42,1.29,2.21,0.11,-3.2,1.81,-1.45,-3.66,-0.42,1.32,2.28,2.44,3.88
Portugal,Petroleum,PortugalPetroleum,0.0715,0.07374,0.07126,0.07192,0.068,0.07274,0.06182,0.05972,0.05974,0.05527,0.05165,0.05089,0.04715,0.04648,0.04566,0.04939,0.04843,0.04571,1.52842,1.6003,1.55156,1.54504,1.48144,1.59118,1.36878,1.35154,1.35194,1.21241,1.15543,1.12053,1.00039,0.98018,0.97659,1.08106,1.03651,0.99111,3.39,1.51,0.34,-1.34,1.39,0.42,1.29,2.21,0.11,-3.2,1.81,-1.45,-3.66,-0.42,1.32,2.28,2.44,3.88
Portugal,Wild catch and harvest,PortugalWild catch and harvest,0.00189,0.00193,0.00193,0.00202,0.00197,0.00202,0.0021,0.00222,0.00195,0.00196,0.00187,0.00183,0.00175,0.00177,0.00163,0.00158,0.00161,0.00158,0.04035,0.04181,0.04197,0.04342,0.0429,0.04427,0.04652,0.05031,0.04404,0.04304,0.04188,0.04034,0.03717,0.03724,0.03476,0.03458,0.03439,0.03417,3.39,1.51,0.34,-1.34,1.39,0.42,1.29,2.21,0.11,-3.2,1.81,-1.45,-3.66,-0.42,1.32,2.28,2.44,3.88
Portugal,Wood,PortugalWood,0.01894,0.01381,0.01171,0.01263,0.0171,0.01613,0.01487,0.01291,0.01293,0.00908,0.01845,0.01389,0.0113,0.01017,0.01127,0.01147,0.01157,0.01125,0.40482,0.2997,0.2549,0.27135,0.37243,0.35289,0.32916,0.29212,0.29264,0.19916,0.41268,0.30587,0.23983,0.21445,0.241,0.25114,0.24766,0.24403,3.39,1.51,0.34,-1.34,1.39,0.42,1.29,2.21,0.11,-3.2,1.81,-1.45,-3.66,-0.42,1.32,2.28,2.44,3.88
Qatar,Total or no breakdown,QatarTotal or no breakdown,0.50864,0.57088,0.80002,0.74463,0.69741,1.07319,0.95313,1.04029,1.09406,0.63584,0.68857,0.45946,0.70118,0.70522,0.75446,0.74186,0.77021,0.8019,31.71351,35.50611,50.9542,46.12449,46.73286,67.82591,65.05647,71.1537,75.39247,42.84364,48.41096,33.28485,49.20655,48.43769,51.06901,49.75417,50.99051,52.51733,4.02,0.09,2.86,-2.51,7.9,-6.43,6.77,-0.97,-0.21,-2.81,4.07,3.05,-2.95,-1.87,-1.21,-0.65,-1.28,-1.04
Qatar,Biomass,QatarBiomass,0.01676,0.02027,0.01747,0.01716,0.01524,0.0157,0.0145,0.01304,0.01439,0.0113,0.01231,0.01151,0.01129,0.01012,0.01104,0.01111,0.01141,0.01175,1.04503,1.26073,1.11294,1.0631,1.02129,0.99207,0.99,0.89176,0.99145,0.76113,0.86562,0.83365,0.79209,0.69521,0.74722,0.74545,0.75506,0.76949,4.02,0.09,2.86,-2.51,7.9,-6.43,6.77,-0.97,-0.21,-2.81,4.07,3.05,-2.95,-1.87,-1.21,-0.65,-1.28,-1.04
Qatar,Crop residues,QatarCrop residues,0.00029,0.00025,0.00025,0.00025,0.00016,0.00018,0.00015,0.00014,0.00013,0.0001,0.00011,0.00011,0.00014,0.00016,0.00016,0.00016,0.00016,0.00016,0.01839,0.01585,0.01566,0.01558,0.01058,0.01114,0.01049,0.00984,0.00884,0.00707,0.00765,0.008,0.00998,0.01073,0.01086,0.01075,0.01073,0.01079,4.02,0.09,2.86,-2.51,7.9,-6.43,6.77,-0.97,-0.21,-2.81,4.07,3.05,-2.95,-1.87,-1.21,-0.65,-1.28,-1.04
Qatar,Crops,QatarCrops,0.01121,0.01277,0.01157,0.01077,0.00871,0.01012,0.00961,0.00968,0.01088,0.00842,0.00902,0.00785,0.00777,0.00642,0.00656,0.00671,0.00692,0.00717,0.69907,0.79427,0.73712,0.66719,0.58387,0.6393,0.65609,0.66205,0.74944,0.56713,0.6345,0.56836,0.54507,0.44119,0.44426,0.44985,0.45832,0.46956,4.02,0.09,2.86,-2.51,7.9,-6.43,6.77,-0.97,-0.21,-2.81,4.07,3.05,-2.95,-1.87,-1.21,-0.65,-1.28,-1.04
